degree,begin,end,university,university2,city,region,country,honors,gpa,advisor,co-advisor
Ph.D. Natural Resource Sciences and Applied Ecology,8/1/15,8/1/19,University of Nebraska-Lincoln,University of Florida,Lincoln,Nebraska,US,,,Craig Allen,Dirac Twidwell
M.Sc. Wildlife Ecology and Conservation,8/1/13,8/1/15,University of Florida,,Gainesville,Florida,US,,,Mike Moulton,Katie Sieving
B.Sc. Wildlife Ecology and Conservation,8/1/10,8/1/13,University of Florida,,Gainesville,Florida,US,,,Katie Sieving,
A.A. ,,8/1/10,Valencia Community College,,Orlando,Orlando,US,,,,
,,,,,,,,,,,
