year,title,authors,event,role,location
2020,"Using the integrated modelling framework to bridge science and decision making: advances, applications, and opportunities.","Burnett, J L, J A Royle",Ecological Society of America Annual Meeting,Organizer,Virtual
2020,Bridging the gap between science and decision-making through the rapid prototyping of decision support tools.,"Valle, D, L S Wszola, and J L Burnett",Ecological Society of America Annual Meeting,Co-organzer,Virtual
2016,Opportunities and challenges in Big Data Ornithology.,"LaSorte, F A, C A Lepczyk, J L Burnett",North American Ornithological Conference V,Co-organzer,"Washington, D.C."
,,,,,
,,,,,
,,,,,
,,,,,
