year,title,role,type,organization,links,description
2020,Future of Synthesis in Ecology Workshop ,Invited Participant,working group,National Center for Ecolocal Analysis and Synthesis (NCEAS),,
2018,Research Collaboration Workshop for Women in Mathematical Biology,Invited Participant,networking,NimBios,,Networking workshop for graduate students in mathematical biology
2016,Association for Women in Science Mentoring Workshop,Organizer,training,"Organizer, Association for Women in Science Mentor Workshop 2016",http://snr.unl.edu/registration/AWISMentor/MentorMenteeRegistrationAttendanceCap.aspx?utm_source=Google&utm_medium=email&utm_term=&utm_content=&utm_campaign=AWIS+Workshop,Organized university-wide training opportunity for mentors and mentees. 
2016,Seminar Coordinator,Organizer,seminar,"School of Natural Resources, University of Nebraska-Lincoln",,
